"start" "features"
"1" 141382625 19
"2" 141382626 19
"3" 141382627 19
"4" 141382628 19
"5" 141382629 19
"6" 141382630 19
"7" 141382631 19
"8" 141382632 19
"9" 141382633 19
"10" 141382634 19
"11" 141382635 19
"12" 141382636 19
"13" 141382637 19
"14" 141382638 19
"15" 141382639 19
"16" 141382640 19
"17" 141382641 19
"18" 141382642 19
"19" 141382643 19
"20" 141382644 19
"21" 141382645 19
"22" 141382646 19
"23" 141382647 19
"24" 141382648 19
"25" 141382649 19
"26" 141382650 19
"27" 141382651 19
"28" 141382652 19
"29" 141382653 19
"30" 141382654 19
"31" 141382655 19
"32" 141382656 19
"33" 141382657 19
"34" 141382658 19
"35" 141382659 19
"36" 141382660 19
"37" 141382661 19
"38" 141382662 19
"39" 141382663 19
"40" 141382664 19
"41" 141382665 19
"42" 141382666 19
"43" 141382667 19
"44" 141382668 19
"45" 141382669 19
"46" 141382670 19
"47" 141382671 19
"48" 141382672 19
"49" 141382673 19
"50" 141382674 19
"51" 141382675 19
"52" 141382676 19
"53" 141382677 19
"54" 141382678 19
"55" 141382679 19
"56" 141382680 19
"57" 141382681 19
"58" 141382682 19
"59" 141382683 19
"60" 141382684 19
"61" 141382685 21
"62" 141382686 21
"63" 141382687 21
"64" 141382688 21
"65" 141382689 21
"66" 141382690 21
"67" 141382691 21
"68" 141382692 21
"69" 141382693 21
"70" 141382694 21
"71" 141382695 21
"72" 141382696 21
"73" 141382697 21
"74" 141382698 21
"75" 141382699 21
"76" 141382700 21
"77" 141382701 21
"78" 141382702 21
"79" 141382703 21
"80" 141382704 21
"81" 141382705 21
"82" 141382706 21
"83" 141382707 21
"84" 141382708 21
"85" 141382709 21
"86" 141382710 21
"87" 141382711 21
"88" 141382712 21
"89" 141382713 21
"90" 141382714 21
"91" 141382715 21
"92" 141382716 21
"93" 141382717 21
"94" 141382718 21
"95" 141382719 21
"96" 141382720 21
"97" 141382721 20
"98" 141382722 20
"99" 141382723 20
"100" 141382724 20
"101" 141382725 20
"102" 141382726 20
"103" 141382727 20
"104" 141382728 20
"105" 141382729 20
"106" 141382730 20
"107" 141382731 20
"108" 141382732 20
"109" 141382733 20
"110" 141382734 20
"111" 141382735 20
"112" 141382736 20
"113" 141382737 20
"114" 141382738 20
"115" 141382739 20
"116" 141382740 20
"117" 141382741 20
"118" 141382742 20
"119" 141382743 20
"120" 141382744 20
"121" 141382745 20
"122" 141382746 20
"123" 141382747 20
"124" 141382748 20
"125" 141382749 20
"126" 141382750 20
"127" 141382751 19
"128" 141382752 19
"129" 141382753 19
"130" 141382754 19
"131" 141382755 19
"132" 141382756 19
"133" 141382757 19
"134" 141382758 19
"135" 141382759 19
"136" 141382760 19
"137" 141382761 19
"138" 141382762 19
"139" 141382763 19
"140" 141382764 19
"141" 141382765 19
"142" 141382766 19
"143" 141382767 19
"144" 141382768 19
"145" 141382769 19
"146" 141382770 19
"147" 141382771 19
"148" 141382772 19
"149" 141382773 19
"150" 141382774 19
"151" 141382775 19
"152" 141382776 19
"153" 141382777 19
"154" 141382778 19
"155" 141382779 19
"156" 141382780 19
"157" 141382781 19
"158" 141382782 19
"159" 141382783 19
"160" 141382784 19
"161" 141382785 19
"162" 141382786 19
"163" 141382787 19
"164" 141382788 19
"165" 141382789 19
"166" 141382790 20
"167" 141382791 20
"168" 141382792 20
"169" 141382793 20
"170" 141382794 20
"171" 141382795 20
"172" 141382796 21
"173" 141382797 21
"174" 141382798 21
"175" 141382799 21
"176" 141382800 21
"177" 141382801 21
"178" 141382802 21
"179" 141382803 21
"180" 141382804 21
"181" 141382805 21
"182" 141382806 21
"183" 141382807 21
"184" 141382808 21
"185" 141382809 21
"186" 141382810 21
"187" 141382811 21
"188" 141382812 21
"189" 141382813 21
"190" 141382814 21
"191" 141382815 21
"192" 141382816 21
"193" 141382817 21
"194" 141382818 21
"195" 141382819 21
"196" 141382820 21
"197" 141382821 21
"198" 141382822 21
"199" 141382823 21
"200" 141382824 21
"201" 141382825 21
"202" 141382826 21
"203" 141382827 21
"204" 141382828 21
"205" 141382829 21
"206" 141382830 21
"207" 141382831 21
"208" 141382832 21
"209" 141382833 21
"210" 141382834 21
"211" 141382835 21
"212" 141382836 21
"213" 141382837 21
"214" 141382838 21
"215" 141382839 21
"216" 141382840 21
"217" 141382841 21
"218" 141382842 21
"219" 141382843 21
"220" 141382844 21
"221" 141382845 21
"222" 141382846 21
"223" 141382847 22
"224" 141382848 22
"225" 141382849 22
"226" 141382850 22
"227" 141382851 22
"228" 141382852 22
"229" 141382853 22
"230" 141382854 22
"231" 141382855 22
"232" 141382856 22
"233" 141382857 22
"234" 141382858 22
"235" 141382859 22
"236" 141382860 22
"237" 141382861 22
"238" 141382862 22
"239" 141382863 22
"240" 141382864 22
"241" 141382865 22
"242" 141382866 22
"243" 141382867 22
"244" 141382868 23
"245" 141382869 23
"246" 141382870 23
"247" 141382871 23
"248" 141382872 23
"249" 141382873 23
"250" 141382874 23
"251" 141382875 23
"252" 141382876 23
"253" 141382877 24
"254" 141382878 24
"255" 141382879 24
"256" 141382880 24
"257" 141382881 24
"258" 141382882 24
"259" 141382883 24
"260" 141382884 24
"261" 141382885 24
"262" 141382886 25
"263" 141382887 25
"264" 141382888 25
"265" 141382889 25
"266" 141382890 25
"267" 141382891 25
"268" 141382892 25
"269" 141382893 25
"270" 141382894 25
"271" 141382895 25
"272" 141382896 25
"273" 141382897 25
"274" 141382898 25
"275" 141382899 25
"276" 141382900 25
"277" 141382901 25
"278" 141382902 25
"279" 141382903 25
"280" 141382904 25
"281" 141382905 25
"282" 141382906 25
"283" 141382907 25
"284" 141382908 25
"285" 141382909 25
"286" 141382910 26
"287" 141382911 26
"288" 141382912 26
"289" 141382913 26
"290" 141382914 26
"291" 141382915 26
"292" 141382916 26
"293" 141382917 26
"294" 141382918 26
"295" 141382919 27
"296" 141382920 27
